title,abstract,detailed_text,year,month,source_type,tech_field,trl
Methods and systems for machine-learning based simulation of flow,"There is provided a method for modeling a hydrocarbon reservoir that includes generating a reservoir model that has a plurality of coarse grid cells. A plurality of fine grid models is generated, wherein each fine grid model corresponds to one of the plurality of coarse grid cells that surround a flux interface. The method also includes simulating the plurality of fine grid models using a training simulation to obtain a set of training parameters, including a potential at each coarse grid cell surrounding the flux interface and a flux across the flux interface. A machine learning algorithm is used to generate a constitutive relationship that provides a solution to fluid flow through the flux interface. The method also includes simulating the hydrocarbon reservoir using the constitutive relationship and generating a data representation of a physical hydrocarbon reservoir in a non-transitory, computer-readable medium based on the results of the simulation.","There is provided a method for modeling a hydrocarbon reservoir that includes generating a reservoir model that has a plurality of coarse grid cells. A plurality of fine grid models is generated, wherein each fine grid model corresponds to one of the plurality of coarse grid cells that surround a flux interface. The method also includes simulating the plurality of fine grid models using a training simulation to obtain a set of training parameters, including a potential at each coarse grid cell surrounding the flux interface and a flux across the flux interface. A machine learning algorithm is used to generate a constitutive relationship that provides a solution to fluid flow through the flux interface. The method also includes simulating the hydrocarbon reservoir using the constitutive relationship and generating a data representation of a physical hydrocarbon reservoir in a non-transitory, computer-readable medium based on the results of the simulation. Methods and systems for machine-learning based simulation of flow",2015,11,patent,G06N3/042,
Real-time camera tracking using depth maps,"Real-time camera tracking using depth maps is described. In an embodiment depth map frames are captured by a mobile depth camera at over 20 frames per second and used to dynamically update in real-time a set of registration parameters which specify how the mobile depth camera has moved. In examples the real-time camera tracking output is used for computer game applications and robotics. In an example, an iterative closest point process is used with projective data association and a point-to-plane error metric in order to compute the updated registration parameters. In an example, a graphics processing unit (GPU) implementation is used to optimize the error metric in real-time. In some embodiments, a dense 3D model of the mobile camera environment is used.","Real-time camera tracking using depth maps is described. In an embodiment depth map frames are captured by a mobile depth camera at over 20 frames per second and used to dynamically update in real-time a set of registration parameters which specify how the mobile depth camera has moved. In examples the real-time camera tracking output is used for computer game applications and robotics. In an example, an iterative closest point process is used with projective data association and a point-to-plane error metric in order to compute the updated registration parameters. In an example, a graphics processing unit (GPU) implementation is used to optimize the error metric in real-time. In some embodiments, a dense 3D model of the mobile camera environment is used. Real-time camera tracking using depth maps",2016,1,patent,A63F13/00,
Camera pose estimation for 3D reconstruction,"Camera pose estimation for 3D reconstruction is described, for example, to enable position and orientation of a depth camera moving in an environment to be tracked for robotics, gaming and other applications. In various embodiments, depth observations from the mobile depth camera are aligned with surfaces of a 3D model of the environment in order to find an updated position and orientation of the mobile depth camera which facilitates the alignment. For example, the mobile depth camera is moved through the environment in order to build a 3D reconstruction of surfaces in the environment which may be stored as the 3D model. In examples, an initial estimate of the pose of the mobile depth camera is obtained and then updated by using a parallelized optimization process in real time.","Camera pose estimation for 3D reconstruction is described, for example, to enable position and orientation of a depth camera moving in an environment to be tracked for robotics, gaming and other applications. In various embodiments, depth observations from the mobile depth camera are aligned with surfaces of a 3D model of the environment in order to find an updated position and orientation of the mobile depth camera which facilitates the alignment. For example, the mobile depth camera is moved through the environment in order to build a 3D reconstruction of surfaces in the environment which may be stored as the 3D model. In examples, an initial estimate of the pose of the mobile depth camera is obtained and then updated by using a parallelized optimization process in real time. Camera pose estimation for 3D reconstruction",2016,2,patent,G06T7/80,
Discrepancy detection apparatus and methods for machine learning,"A robotic device may comprise an adaptive controller configured to learn to predict consequences of robotic device&#39;s actions. During training, the controller may receive a copy of the planned and/or executed motor command and sensory information obtained based on the robot&#39;s response to the command. The controller may predict sensory outcome based on the command and one or more prior sensory inputs. The predicted sensory outcome may be compared to the actual outcome. Based on a determination that the prediction matches the actual outcome, the training may stop. Upon detecting a discrepancy between the prediction and the actual outcome, the controller may provide a continuation signal configured to indicate that additional training may be utilized. In some classification implementations, the discrepancy signal may be used to indicate occurrence of novel (not yet learned) objects in the sensory input and/or indicate continuation of training to recognize said objects.","A robotic device may comprise an adaptive controller configured to learn to predict consequences of robotic device&#39;s actions. During training, the controller may receive a copy of the planned and/or executed motor command and sensory information obtained based on the robot&#39;s response to the command. The controller may predict sensory outcome based on the command and one or more prior sensory inputs. The predicted sensory outcome may be compared to the actual outcome. Based on a determination that the prediction matches the actual outcome, the training may stop. Upon detecting a discrepancy between the prediction and the actual outcome, the controller may provide a continuation signal configured to indicate that additional training may be utilized. In some classification implementations, the discrepancy signal may be used to indicate occurrence of novel (not yet learned) objects in the sensory input and/or indicate continuation of training to recognize said objects. Discrepancy detection apparatus and methods for machine learning",2016,2,patent,B25J9/163,
Methods and apparatus to determine locations of audience members,"A disclosed example method involves determining, using a neural network at a stationary unit, a first distance of a first portable audio detector from the stationary unit, the first portable audio detector associated with a first panelist, the stationary unit located in proximity to the media presentation device. The example method also involves determining, using the neural network, a second distance of a second portable audio detector from the stationary unit, the second portable audio detector associated with a second panelist. In response to the first distance being less than a threshold distance, the media is credited as exposed to the first panelist. In response to the second distance being more than the threshold distance, the media is not credited as exposed to the second panelist.","A disclosed example method involves determining, using a neural network at a stationary unit, a first distance of a first portable audio detector from the stationary unit, the first portable audio detector associated with a first panelist, the stationary unit located in proximity to the media presentation device. The example method also involves determining, using the neural network, a second distance of a second portable audio detector from the stationary unit, the second portable audio detector associated with a second panelist. In response to the first distance being less than a threshold distance, the media is credited as exposed to the first panelist. In response to the second distance being more than the threshold distance, the media is not credited as exposed to the second panelist. Methods and apparatus to determine locations of audience members",2016,2,patent,G01S3/801,
Analyzing font similarity for presentation,"A system includes a computing device that includes a memory configured to store instructions. The system also includes a processor to execute the instructions to perform operations that include receiving data representing features of a first font and data representing features of a second font. The first font and the second font are capable of representing one or more glyphs. Operations also include receiving survey-based data representing the similarity between the first and second fonts, and, training a machine learning system using the features of the first font, the features of the second font and the survey-based data that represents the similarity between the first and second fonts.","A system includes a computing device that includes a memory configured to store instructions. The system also includes a processor to execute the instructions to perform operations that include receiving data representing features of a first font and data representing features of a second font. The first font and the second font are capable of representing one or more glyphs. Operations also include receiving survey-based data representing the similarity between the first and second fonts, and, training a machine learning system using the features of the first font, the features of the second font and the survey-based data that represents the similarity between the first and second fonts. Analyzing font similarity for presentation",2016,4,patent,G06F18/22,
Presaging and surfacing interactivity within data visualizations,"The use of visual cues associated with rendered visual items to cue a user on whether a rendered visual item has interactive capability and/or what type of interaction is possible with that visual item. The visual items may be rendered in a data driven way with each constructed using a corresponding parameterized view component. The parameter(s) are populated by data, perhaps by model variables obtained from an analytical model. The parameters then drive logic associated with the view component to thereby construct a visual item which may then be rendered. The rendering engine then renders the visual item with the visual cue. The user may then interact with the rendered visual item. Such interaction might cause some external action to occur, might change which visual items are displayed, and/or might change a value of the input parameters of one or more view components used to generate displayed visual items.","The use of visual cues associated with rendered visual items to cue a user on whether a rendered visual item has interactive capability and/or what type of interaction is possible with that visual item. The visual items may be rendered in a data driven way with each constructed using a corresponding parameterized view component. The parameter(s) are populated by data, perhaps by model variables obtained from an analytical model. The parameters then drive logic associated with the view component to thereby construct a visual item which may then be rendered. The rendering engine then renders the visual item with the visual cue. The user may then interact with the rendered visual item. Such interaction might cause some external action to occur, might change which visual items are displayed, and/or might change a value of the input parameters of one or more view components used to generate displayed visual items. Presaging and surfacing interactivity within data visualizations",2016,5,patent,G06F3/04815,
Concept indexing among database of documents using machine learning techniques,"Systems and techniques for indexing and/or querying a database are described herein. Discrete sections and/or segments from documents may be determined by a concept indexing system. The segments may be indexed by concept and/or higher-level category of interest to a user. A user may query the segments by one or more concepts. The segments may be analyzed to rank the segments by statistical accuracy and/or relatedness to one or more particular concepts. The rankings may be used for presentation of search results in a user interface. Furthermore, segments and/or documents may be ranked based on recency decay functions that distinguish between segments that maintain their relevance over time in contrast with temporal segments whose relevance decays quicker over time, for example.","Systems and techniques for indexing and/or querying a database are described herein. Discrete sections and/or segments from documents may be determined by a concept indexing system. The segments may be indexed by concept and/or higher-level category of interest to a user. A user may query the segments by one or more concepts. The segments may be analyzed to rank the segments by statistical accuracy and/or relatedness to one or more particular concepts. The rankings may be used for presentation of search results in a user interface. Furthermore, segments and/or documents may be ranked based on recency decay functions that distinguish between segments that maintain their relevance over time in contrast with temporal segments whose relevance decays quicker over time, for example. Concept indexing among database of documents using machine learning techniques",2016,5,patent,G06F16/282,
"Apparatuses, methods and systems for a digital conversation management platform","The APPARATUSES, METHODS AND SYSTEMS FOR A DIGITAL CONVERSATION MANAGEMENT PLATFORM (“DCM-Platform”) transforms digital dialogue from consumers, client demands and, Internet search inputs via DCM-Platform components into tradable digital assets, and client needs based artificial intelligence campaign plan outputs. In one implementation, The DCM-Platform may capture and examine conversations between individuals and artificial intelligence conversation agents. These agents may be viewed as assets. One can measure the value and performance of these agents by assessing their performance and ability to generate revenue from prolonging conversations and/or ability to effect sales through conversations with individuals.","The APPARATUSES, METHODS AND SYSTEMS FOR A DIGITAL CONVERSATION MANAGEMENT PLATFORM (“DCM-Platform”) transforms digital dialogue from consumers, client demands and, Internet search inputs via DCM-Platform components into tradable digital assets, and client needs based artificial intelligence campaign plan outputs. In one implementation, The DCM-Platform may capture and examine conversations between individuals and artificial intelligence conversation agents. These agents may be viewed as assets. One can measure the value and performance of these agents by assessing their performance and ability to generate revenue from prolonging conversations and/or ability to effect sales through conversations with individuals. Apparatuses, methods and systems for a digital conversation management platform",2016,8,patent,G10L25/48,
"Apparatuses, methods and systems for a digital conversation management platform","The APPARATUSES, METHODS AND SYSTEMS FOR A DIGITAL CONVERSATION MANAGEMENT PLATFORM (“DCM-Platform”) transforms digital dialog from consumers, client demands and, Internet search inputs via DCM-Platform components into tradable digital assets, and client needs based artificial intelligence campaign plan outputs. In one implementation, The DCM-Platform may capture and examine conversations between individuals and artificial intelligence conversation agents. These agents may be viewed as assets. One can measure the value and performance of these agents by assessing their performance and ability to generate revenue from prolonging conversations and/or ability to effect sales through conversations with individuals.","The APPARATUSES, METHODS AND SYSTEMS FOR A DIGITAL CONVERSATION MANAGEMENT PLATFORM (“DCM-Platform”) transforms digital dialog from consumers, client demands and, Internet search inputs via DCM-Platform components into tradable digital assets, and client needs based artificial intelligence campaign plan outputs. In one implementation, The DCM-Platform may capture and examine conversations between individuals and artificial intelligence conversation agents. These agents may be viewed as assets. One can measure the value and performance of these agents by assessing their performance and ability to generate revenue from prolonging conversations and/or ability to effect sales through conversations with individuals. Apparatuses, methods and systems for a digital conversation management platform",2016,8,patent,G06Q30/0277,
"Apparatuses, methods and systems for a digital conversation management platform","The APPARATUSES, METHODS AND SYSTEMS FOR A DIGITAL CONVERSATION MANAGEMENT PLATFORM (“DCM-Platform”) transforms digital dialogue from consumers, client demands and, Internet search inputs via DCM-Platform components into tradable digital assets, and client needs based artificial intelligence campaign plan outputs. In one implementation, The DCM-Platform may capture and examine conversations between individuals and artificial intelligence conversation agents. These agents may be viewed as assets. One can measure the value and performance of these agents by assessing their performance and ability to generate revenue from prolonging conversations and/or ability to effect sales through conversations with individuals.","The APPARATUSES, METHODS AND SYSTEMS FOR A DIGITAL CONVERSATION MANAGEMENT PLATFORM (“DCM-Platform”) transforms digital dialogue from consumers, client demands and, Internet search inputs via DCM-Platform components into tradable digital assets, and client needs based artificial intelligence campaign plan outputs. In one implementation, The DCM-Platform may capture and examine conversations between individuals and artificial intelligence conversation agents. These agents may be viewed as assets. One can measure the value and performance of these agents by assessing their performance and ability to generate revenue from prolonging conversations and/or ability to effect sales through conversations with individuals. Apparatuses, methods and systems for a digital conversation management platform",2016,8,patent,G11B20/10527,
"Systems and user interfaces for holistic, data-driven investigation of bad actor behavior based on clustering and scoring of related data","Embodiments of the present disclosure relate to a data analysis system that may automatically generate memory-efficient clustered data structures, automatically analyze those clustered data structures, automatically tag and group those clustered data structures, and provide results of the automated analysis and grouping in an optimized way to an analyst. The automated analysis of the clustered data structures (also referred to herein as data clusters) may include an automated application of various criteria, rules, indicators, or scenarios so as to generate scores, reports, alerts, or conclusions that the analyst may quickly and efficiently use to evaluate the groups of data clusters. In particular, the groups of data clusters may be dynamically re-grouped and/or filtered in an interactive user interface so as to enable an analyst to quickly navigate among information associated with various groups of data clusters and efficiently evaluate those data clusters in the context of, for example, a risky trading investigation.","Embodiments of the present disclosure relate to a data analysis system that may automatically generate memory-efficient clustered data structures, automatically analyze those clustered data structures, automatically tag and group those clustered data structures, and provide results of the automated analysis and grouping in an optimized way to an analyst. The automated analysis of the clustered data structures (also referred to herein as data clusters) may include an automated application of various criteria, rules, indicators, or scenarios so as to generate scores, reports, alerts, or conclusions that the analyst may quickly and efficiently use to evaluate the groups of data clusters. In particular, the groups of data clusters may be dynamically re-grouped and/or filtered in an interactive user interface so as to enable an analyst to quickly navigate among information associated with various groups of data clusters and efficiently evaluate those data clusters in the context of, for example, a risky trading investigation. Systems and user interfaces for holistic, data-driven investigation of bad actor behavior based on clustering and scoring of related data",2016,9,patent,G06Q40/00,
Systems and methods for identifying and categorizing electronic documents through machine learning,"Computer implemented systems and methods are disclosed for identifying and categorizing electronic documents through machine learning. In accordance with some embodiments, a seed set of categorized electronic documents may be used to train a document categorizer based on a machine learning algorithm. The trained document categorizer may categorize electronic documents in a large corpus of electronic documents. Performance metrics associated with performance of the trained document categorizer may be tracked, and additional seed sets of categorized electronic documents may be used to improve the performance of document categorizer by retraining the document categorizer on subsequent seed sets. Additional seed sets may and categorizations may be iterated through until a desired document categorization performance is reached.","Computer implemented systems and methods are disclosed for identifying and categorizing electronic documents through machine learning. In accordance with some embodiments, a seed set of categorized electronic documents may be used to train a document categorizer based on a machine learning algorithm. The trained document categorizer may categorize electronic documents in a large corpus of electronic documents. Performance metrics associated with performance of the trained document categorizer may be tracked, and additional seed sets of categorized electronic documents may be used to improve the performance of document categorizer by retraining the document categorizer on subsequent seed sets. Additional seed sets may and categorizations may be iterated through until a desired document categorization performance is reached. Systems and methods for identifying and categorizing electronic documents through machine learning",2016,12,patent,G06N7/01,
Techniques for metadata-driven dynamic content serving,Techniques for metadata-driven dynamic content serving. Metadata content is stored as a source instance. The metadata content is utilized to provide dynamically-constructed pages. The metadata content is published to runtime pods communicatively coupled to receive the metadata content. The source instance includes a metadata definition repository and is a primary source of dynamic data for serving pages in the runtime pods. The runtime pods are groups of multiple servers that act as a single entity to dynamically generate metadata-driven content in response to requests received from client devices. A request for content is received with a selected one of the runtime pods for a specific site. The specific site is mapped to a user identified by a user identifier. The user identifier is utilized to retrieve site metadata from a site metadata server. Content is provided in response to the request with the selected runtime pod utilizing the metadata content.,Techniques for metadata-driven dynamic content serving. Metadata content is stored as a source instance. The metadata content is utilized to provide dynamically-constructed pages. The metadata content is published to runtime pods communicatively coupled to receive the metadata content. The source instance includes a metadata definition repository and is a primary source of dynamic data for serving pages in the runtime pods. The runtime pods are groups of multiple servers that act as a single entity to dynamically generate metadata-driven content in response to requests received from client devices. A request for content is received with a selected one of the runtime pods for a specific site. The specific site is mapped to a user identified by a user identifier. The user identifier is utilized to retrieve site metadata from a site metadata server. Content is provided in response to the request with the selected runtime pod utilizing the metadata content. Techniques for metadata-driven dynamic content serving,2016,12,patent,H04L67/025,
Thermostat classification method and system,"The disclosure provides a computer-implemented method and system of reducing commodity usage by providing tailored consumer information to the consumer. The method utilizes neural network and machine learning techniques to calculate and cluster statistical data to classify the premises for desired observable condition, including the presence of a programmed thermostat. A score is determined that corresponds to at least one of: (i) a present state of an observable condition, (ii) a non-present state of the observable condition, and (iii) a degree of a condition of the observable condition, to provide tailored consumer information associated to the consumer&#39;s usage of the commodity.","The disclosure provides a computer-implemented method and system of reducing commodity usage by providing tailored consumer information to the consumer. The method utilizes neural network and machine learning techniques to calculate and cluster statistical data to classify the premises for desired observable condition, including the presence of a programmed thermostat. A score is determined that corresponds to at least one of: (i) a present state of an observable condition, (ii) a non-present state of the observable condition, and (iii) a degree of a condition of the observable condition, to provide tailored consumer information associated to the consumer&#39;s usage of the commodity. Thermostat classification method and system",2017,1,patent,G05D23/01,
Malicious software detection in a computing system,"A computer system identifies malicious Uniform Resource Locator (URL) data items from a plurality of unscreened data items that have not been previously identified as associated with malicious URLs. The system can execute a number of pre-filters to identify a subset of URLs in the plurality of data items that are likely to be malicious. A scoring processor can score the subset of URLs based on a plurality of input vectors using a suitable machine learning model. Optionally, the system can execute one or more post-filters on the score data to identify data items of interest. Such data items can be fed back into the system to improve machine learning or can be used to provide a notification that a particular resource within a local network is infected with malicious software.","A computer system identifies malicious Uniform Resource Locator (URL) data items from a plurality of unscreened data items that have not been previously identified as associated with malicious URLs. The system can execute a number of pre-filters to identify a subset of URLs in the plurality of data items that are likely to be malicious. A scoring processor can score the subset of URLs based on a plurality of input vectors using a suitable machine learning model. Optionally, the system can execute one or more post-filters on the score data to identify data items of interest. Such data items can be fed back into the system to improve machine learning or can be used to provide a notification that a particular resource within a local network is infected with malicious software. Malicious software detection in a computing system",2017,1,patent,G06F21/566,
