title,abstract,detailed_text,year,month,source_type,tech_field,trl
Welcome to the Machine: Privacy and Workplace Implications of Predictive Analytics,"Predictive analytics use a method known as data mining to identify trends, patterns, or relationships among data, which can then be used develop predictive model. Data itself relies upon big is “big” not solely because of its size but also analytical potential qualitatively different. “Big data” analysis allows organizations, including government and businesses, combine diverse digital datasets statistics other techniques extract from them both hidden information surprising correlations. These are necessarily tracking transactional records atomized behavior, such the purchasing history customers, keeping track communication dynamics social interactions.Employers have long various tools monitor workers, whether productivity guard against improper behavior in workplace. But individuals communicate socialize more online, whole new array becoming available employers evaluate job candidates workers through analytics. Current U.S. privacy law provides almost no protection type “profile” that generated analytics, matter how personal. It considers any potentially publicly private — regardless “public” collected used. There is, however, one developing theory could provide analytics: “mosaic” recognizes continuous monitoring reveal an intimate picture individual’s life.Predictive existed for some time, only recently “come age” employment situations. This article examines workplace, threats worker arising mosaic offers viable needed protection. concludes, unless adopted soon everyone faces serious their privacy.","Predictive analytics use a method known as data mining to identify trends, patterns, or relationships among data, which can then be used develop predictive model. Data itself relies upon big is “big” not solely because of its size but also analytical potential qualitatively different. “Big data” analysis allows organizations, including government and businesses, combine diverse digital datasets statistics other techniques extract from them both hidden information surprising correlations. These are necessarily tracking transactional records atomized behavior, such the purchasing history customers, keeping track communication dynamics social interactions.Employers have long various tools monitor workers, whether productivity guard against improper behavior in workplace. But individuals communicate socialize more online, whole new array becoming available employers evaluate job candidates workers through analytics. Current U.S. privacy law provides almost no protection type “profile” that generated analytics, matter how personal. It considers any potentially publicly private — regardless “public” collected used. There is, however, one developing theory could provide analytics: “mosaic” recognizes continuous monitoring reveal an intimate picture individual’s life.Predictive existed for some time, only recently “come age” employment situations. This article examines workplace, threats worker arising mosaic offers viable needed protection. concludes, unless adopted soon everyone faces serious their privacy. Welcome to the Machine: Privacy and Workplace Implications of Predictive Analytics",2015,12,paper,Predictive analytics,NaN
Study of Various Internet of Things Platforms,"Internet of Things is a technological revolution which provides the vision connected world Things.Devices, people and systems are with one another in such way that they can communicate each other over Internet.So form communication from human-human now turned into humanhuman, human-things things-things.Variety platforms days available support entire development to deployment IoT applications systems.In this paper, we will first start introduction as well middleware then discuss various platforms, compare end up conclusion.","Internet of Things is a technological revolution which provides the vision connected world Things.Devices, people and systems are with one another in such way that they can communicate each other over Internet.So form communication from human-human now turned into humanhuman, human-things things-things.Variety platforms days available support entire development to deployment IoT applications systems.In this paper, we will first start introduction as well middleware then discuss various platforms, compare end up conclusion. Study of Various Internet of Things Platforms",2015,12,paper,Computer science,NaN
Transmitarray Antenna Design Using Forward and Inverse Neural Network Modeling,"Transmitarray work begins with the setting up of a database transmission coefficients versus element parameters. This has to be inverted as part design process. It is shown that inverse neural networks are well-suited do this, even when relationships multivalued.","Transmitarray work begins with the setting up of a database transmission coefficients versus element parameters. This has to be inverted as part design process. It is shown that inverse neural networks are well-suited do this, even when relationships multivalued. Transmitarray Antenna Design Using Forward and Inverse Neural Network Modeling",2015,12,paper,Inverse,NaN
Five‐descriptor model to predict the chromatographic sequence of natural compounds,"Despite the recent introduction of mass detection techniques, ultraviolet is still widely applied in field chromatographic analysis natural medicines. Here, a neural network cascade model consisting nine small artificial units was innovatively developed to predict sequence compounds by integrating five molecular descriptors as input. A total 117 known structure were collected for building. The order appearance each compound determined gradient chromatography. Strong linear correlation found between predicted and actual position orders (Spearman's rho = 0.883, p &lt; 0.0001). Application external validation set shown dramatically increase prediction accuracy real multiple compounds. case study shows that based on facilitated identification fingerprint Radix Salvia miltiorrhiza . For medicines composition, our method provides feasible means identifying constituents interest when only available.","Despite the recent introduction of mass detection techniques, ultraviolet is still widely applied in field chromatographic analysis natural medicines. Here, a neural network cascade model consisting nine small artificial units was innovatively developed to predict sequence compounds by integrating five molecular descriptors as input. A total 117 known structure were collected for building. The order appearance each compound determined gradient chromatography. Strong linear correlation found between predicted and actual position orders (Spearman's rho = 0.883, p &lt; 0.0001). Application external validation set shown dramatically increase prediction accuracy real multiple compounds. case study shows that based on facilitated identification fingerprint Radix Salvia miltiorrhiza . For medicines composition, our method provides feasible means identifying constituents interest when only available. Five‐descriptor model to predict the chromatographic sequence of natural compounds",2015,12,paper,Chromatography,NaN
Development of Educational Model for ICT-based Convergence Expert,"ICT 기반의 융합전문가를 양성하기 위해서는 사물인터넷 활용 능력을 학습하여야 한다. 본 논문에서는 컴퓨터학을 전공한 교육생을 대상으로 5개월의 관련 교육을 실시하여 융합전문가로 위한 교육과정과 교육운영 전반을 다루는 교육모형 설계에 대한 내용을 기술한다. 교육과정은 기본역량과정, 핵심역량과정, 실전역량과정 그리고 현장연수과정으로 구분하여 총 10단계의 세부과정으로 구성하였다. 교과과정은 센싱기술, 네트워크기술, 보안 및 콘테츠 제작기술을 학습하도록 설계하였다. 교육모형은 2015년 고용노동부의 일자리창출 인력양성사업에 활용되어 높은 수료율과 취업률을 달성하는데 기여하여 효용성을 입증하였으며, 추후 대학교육에 적용할 수 있도록 Java 과정을 보완하는 등 교과과정을 확장할 계획이다. To train convergence experts infrastructure must be learned IoT use capabilities of things. In this paper, targeted to students that are majoring in computer science, and for the design curriculum educational model handles education operation general training IoT-related five months describe contents. Course is basic ability process, core competence course, divided into real-life capability process on-site was constructed a total 10 stages details. Curriculum, it designed learn sensing technology, network security, content production technology. This utilized job creation human resource project 2015 Ministry Employment Labor, demonstrated utility contribute order achieve high completion employment rate. Applicable future university plans expand curriculum, including courses complement Java.","ICT 기반의 융합전문가를 양성하기 위해서는 사물인터넷 활용 능력을 학습하여야 한다. 본 논문에서는 컴퓨터학을 전공한 교육생을 대상으로 5개월의 관련 교육을 실시하여 융합전문가로 위한 교육과정과 교육운영 전반을 다루는 교육모형 설계에 대한 내용을 기술한다. 교육과정은 기본역량과정, 핵심역량과정, 실전역량과정 그리고 현장연수과정으로 구분하여 총 10단계의 세부과정으로 구성하였다. 교과과정은 센싱기술, 네트워크기술, 보안 및 콘테츠 제작기술을 학습하도록 설계하였다. 교육모형은 2015년 고용노동부의 일자리창출 인력양성사업에 활용되어 높은 수료율과 취업률을 달성하는데 기여하여 효용성을 입증하였으며, 추후 대학교육에 적용할 수 있도록 Java 과정을 보완하는 등 교과과정을 확장할 계획이다. To train convergence experts infrastructure must be learned IoT use capabilities of things. In this paper, targeted to students that are majoring in computer science, and for the design curriculum educational model handles education operation general training IoT-related five months describe contents. Course is basic ability process, core competence course, divided into real-life capability process on-site was constructed a total 10 stages details. Curriculum, it designed learn sensing technology, network security, content production technology. This utilized job creation human resource project 2015 Ministry Employment Labor, demonstrated utility contribute order achieve high completion employment rate. Applicable future university plans expand curriculum, including courses complement Java. Development of Educational Model for ICT-based Convergence Expert",2015,12,paper,Information and Communications Technology,NaN
Combination of Cloud Computing and Internet of Things (IOT) in Medical Monitoring Systems,"With the fast development of cloud computing and computer science technology, combination IOT clod in medical-assisted environment is urgently needed. The prior research focus more on individual single technique, quite a less field medical monitoring managing service application have been conducted. Therefore, this paper, we study analyze Internet Things environment. We are trying to make two kinds technology management information system hospital. Remote platform architecture model (RMCPHI) set up first place. Then RMCPHI was analyzed. Eventually, last effective PSOSAA algorithm proposed hospital application. Experimental simulation illustrates that outperforms other state-of-the-art algorithms. Further potential areas discussed.","With the fast development of cloud computing and computer science technology, combination IOT clod in medical-assisted environment is urgently needed. The prior research focus more on individual single technique, quite a less field medical monitoring managing service application have been conducted. Therefore, this paper, we study analyze Internet Things environment. We are trying to make two kinds technology management information system hospital. Remote platform architecture model (RMCPHI) set up first place. Then RMCPHI was analyzed. Eventually, last effective PSOSAA algorithm proposed hospital application. Experimental simulation illustrates that outperforms other state-of-the-art algorithms. Further potential areas discussed. Combination of Cloud Computing and Internet of Things (IOT) in Medical Monitoring Systems",2015,12,paper,Internet of Things,NaN
FPGA-Based Stochastic Echo State Networks for Time-Series Forecasting,"Hardware implementation of artificial neural networks (ANNs) allows exploiting the inherent parallelism these systems. Nevertheless, they require a large amount resources in terms area and power dissipation. Recently, Reservoir Computing (RC) has arisen as strategic technique to design recurrent (RNNs) with simple learning capabilities. In this work, we show new approach implement RC systems digital gates. The proposed method is based on use probabilistic computing concepts reduce hardware required different arithmetic operations. result development highly functional system low resources. presented methodology applied chaotic time-series forecasting.","Hardware implementation of artificial neural networks (ANNs) allows exploiting the inherent parallelism these systems. Nevertheless, they require a large amount resources in terms area and power dissipation. Recently, Reservoir Computing (RC) has arisen as strategic technique to design recurrent (RNNs) with simple learning capabilities. In this work, we show new approach implement RC systems digital gates. The proposed method is based on use probabilistic computing concepts reduce hardware required different arithmetic operations. result development highly functional system low resources. presented methodology applied chaotic time-series forecasting. FPGA-Based Stochastic Echo State Networks for Time-Series Forecasting",2015,12,paper,Computer science,NaN
Internal control effectiveness – a clustering approach,"Purpose – This study aims to examine and visualize the adopted internal control structure effectiveness in firms present a typology of firms. Control are measured based on assessment management, rather than using reported material weaknesses as most studies do. type evaluation is more purposeful for that do not apply Sarbanes-Oxley Act. Internal frameworks provide only broad guidance concerning concepts, leaving details adopting Design/methodology/approach The survey data (from 741 CEOs) clustered self-organizing map, visual artificial neural network approach. A three-dimensional proxy used. Findings analysis reveals four alternative types visually presents how components associated with each one. then created. Practical implications findings suggest there interrelated, but straightforward, relationships between variables link some them higher practice. These have important those responsible improving or assessing control, such personnel external auditors. Originality/value paper uses clustering approach create effectiveness, from actual Instead measure, this managers’ own assessments effectiveness.","Purpose – This study aims to examine and visualize the adopted internal control structure effectiveness in firms present a typology of firms. Control are measured based on assessment management, rather than using reported material weaknesses as most studies do. type evaluation is more purposeful for that do not apply Sarbanes-Oxley Act. Internal frameworks provide only broad guidance concerning concepts, leaving details adopting Design/methodology/approach The survey data (from 741 CEOs) clustered self-organizing map, visual artificial neural network approach. A three-dimensional proxy used. Findings analysis reveals four alternative types visually presents how components associated with each one. then created. Practical implications findings suggest there interrelated, but straightforward, relationships between variables link some them higher practice. These have important those responsible improving or assessing control, such personnel external auditors. Originality/value paper uses clustering approach create effectiveness, from actual Instead measure, this managers’ own assessments effectiveness. Internal control effectiveness – a clustering approach",2015,12,paper,Typology,NaN
Using Co-authorship Networks to Map and Analyse Global Neglected Tropical Disease Research with an Affiliation to Germany,"The share of NTD publications with German affiliations is approximately half its in other fields medical research. This finding underlines the need to identify barriers and expand Germany's otherwise strong research activities towards NTDs. A geospatial analysis collaborations partners abroad can support decisions strengthen capacity, particularly low- middle-income countries, which were less involved than high-income countries. Identifying knowledge hubs within individual researcher networks complements traditional scientometric indicators that are used opportunities for collaboration. Using free tools analyse processes output could facilitate data-driven health policies. Our findings contribute prioritisation efforts at a time impending local global policy decisions.","The share of NTD publications with German affiliations is approximately half its in other fields medical research. This finding underlines the need to identify barriers and expand Germany's otherwise strong research activities towards NTDs. A geospatial analysis collaborations partners abroad can support decisions strengthen capacity, particularly low- middle-income countries, which were less involved than high-income countries. Identifying knowledge hubs within individual researcher networks complements traditional scientometric indicators that are used opportunities for collaboration. Using free tools analyse processes output could facilitate data-driven health policies. Our findings contribute prioritisation efforts at a time impending local global policy decisions. Using Co-authorship Networks to Map and Analyse Global Neglected Tropical Disease Research with an Affiliation to Germany",2015,12,paper,Neglected tropical diseases,NaN
Comprehensive Evaluation of High-Resolution Satellite-Based Precipitation Products over China,"Characterizing the errors in satellite-based precipitation estimation products is crucial for understanding their effects hydrological applications. Six derived from three algorithms are comprehensively evaluated against gauge data over mainland China December 2006 to November 2010. These include satellite-only estimates: Global Satellite Mapping of Precipitation Microwave-IR Combined Product (GSMaP_MVK), Climate Prediction Center (CPC) MORPHing (CMORPH), and Estimation Remotely Sensed Information using Artificial Neural Networks (PERSIANN), as well gauge-corrected counterparts: GSMaP Gauge-calibrated (GSMaP_Gauge), bias-corrected CMORPH (CMORPH_CRT), PERSIANN Data Record (PERSIANN-CDR). Overall, bias-correction procedures largely reduce various groups products. GSMaP_Gauge produces better fractional coverage with highest correlation (0.95) lowest RMSE (0.53 mm/day) but also high RB (15.77%). In general, CMORPH_CRT amounts closer reference. shows performance than GSMaP_MVK CC (0.82) (0.93 mm/day), presents a relatively (−19.60%). winter, all six satellite estimates have comparatively poor capability, IR-based PERSIANN_CDR exhibiting closest Both show capability detecting occurrence low POD (&lt;50%) CSI (&lt;35%) FAR (&gt;40%).","Characterizing the errors in satellite-based precipitation estimation products is crucial for understanding their effects hydrological applications. Six derived from three algorithms are comprehensively evaluated against gauge data over mainland China December 2006 to November 2010. These include satellite-only estimates: Global Satellite Mapping of Precipitation Microwave-IR Combined Product (GSMaP_MVK), Climate Prediction Center (CPC) MORPHing (CMORPH), and Estimation Remotely Sensed Information using Artificial Neural Networks (PERSIANN), as well gauge-corrected counterparts: GSMaP Gauge-calibrated (GSMaP_Gauge), bias-corrected CMORPH (CMORPH_CRT), PERSIANN Data Record (PERSIANN-CDR). Overall, bias-correction procedures largely reduce various groups products. GSMaP_Gauge produces better fractional coverage with highest correlation (0.95) lowest RMSE (0.53 mm/day) but also high RB (15.77%). In general, CMORPH_CRT amounts closer reference. shows performance than GSMaP_MVK CC (0.82) (0.93 mm/day), presents a relatively (−19.60%). winter, all six satellite estimates have comparatively poor capability, IR-based PERSIANN_CDR exhibiting closest Both show capability detecting occurrence low POD (&lt;50%) CSI (&lt;35%) FAR (&gt;40%). Comprehensive Evaluation of High-Resolution Satellite-Based Precipitation Products over China",2015,12,paper,Satellite,NaN
An Artificial Neural Network Model for Wastewater Treatment Plant of Konya,"In this study, modelling of Konya wastewater treatment plant was studied by using artificial neural network with different architectures in Matlab software. All data were obtained from during daily records over four month. Treatment efficiency the determined taking into account input values pH, temperature, COD, TSS and BOD output TSS. Performance model compared via parameters Mean Squared Error (MSE), correlation coefficient (R). The suitable architecture is after several trial error steps. According to ANN can predict performance (R) between observed predicted variable reached up 0.96.","In this study, modelling of Konya wastewater treatment plant was studied by using artificial neural network with different architectures in Matlab software. All data were obtained from during daily records over four month. Treatment efficiency the determined taking into account input values pH, temperature, COD, TSS and BOD output TSS. Performance model compared via parameters Mean Squared Error (MSE), correlation coefficient (R). The suitable architecture is after several trial error steps. According to ANN can predict performance (R) between observed predicted variable reached up 0.96. An Artificial Neural Network Model for Wastewater Treatment Plant of Konya",2015,12,paper,Computer science,NaN
Flow pattern identification of horizontal two-phase refrigerant flow using neural networks,,,2015,12,paper,Artificial neural network,NaN
Crossing Point of Artificial Intelligence in Cybersecurity,"There is a wide scope of interdisciplinary crossing points between Artificial Intelligence (AI) and Cybersecurity. On one hand, AI advancements, for example, deep learning, can be introduced into cybersecurity to develop smart models executing malware classification intrusion detection threatening intelligent detecting. Then again, will confront different cyber threats, which affect their sample, decision making. Along these lines, need specific defense assurance advances battle ill-disposed machine preserve protection in AI, secure united so forth. Because the above two angles, we audit point To begin with, sum up existing research methodologies regarding fighting threats utilizing artificial intelligence, including receiving customary techniques learning solutions. At that point, analyze counterattacks from itself may endure, divide qualities, characterize relating techniques. And finally, aspects developing encrypted neural networks understanding safe expand current analysis on most proficient method framework. This paper centers mainly around central question: ""By what means intelligence applications utilized upgrade cybersecurity?"" From this question rises accompanying set sub-questions: What idea are its fields? main areas uphold cybersecurity? data mining how might it Hence, planned reveal insight fields, profit by brainpower improve cybersecurity. Using an analytical distinct approach past writing matter, significance utilize strategies was featured fields application cybersecurity, mining, expert systems.&#x0D;","There is a wide scope of interdisciplinary crossing points between Artificial Intelligence (AI) and Cybersecurity. On one hand, AI advancements, for example, deep learning, can be introduced into cybersecurity to develop smart models executing malware classification intrusion detection threatening intelligent detecting. Then again, will confront different cyber threats, which affect their sample, decision making. Along these lines, need specific defense assurance advances battle ill-disposed machine preserve protection in AI, secure united so forth. Because the above two angles, we audit point To begin with, sum up existing research methodologies regarding fighting threats utilizing artificial intelligence, including receiving customary techniques learning solutions. At that point, analyze counterattacks from itself may endure, divide qualities, characterize relating techniques. And finally, aspects developing encrypted neural networks understanding safe expand current analysis on most proficient method framework. This paper centers mainly around central question: ""By what means intelligence applications utilized upgrade cybersecurity?"" From this question rises accompanying set sub-questions: What idea are its fields? main areas uphold cybersecurity? data mining how might it Hence, planned reveal insight fields, profit by brainpower improve cybersecurity. Using an analytical distinct approach past writing matter, significance utilize strategies was featured fields application cybersecurity, mining, expert systems.&#x0D; Crossing Point of Artificial Intelligence in Cybersecurity",2015,12,paper,Computer security,NaN
The Design Evolution of a Sensing and Force-Feedback Exoskeleton Robotic Glove for Hand Rehabilitation Application,"This paper presents the design evolution of sensing and force-feedback exoskeleton robotic (SAFER) glove with application to hand rehabilitation. The grasping rehabilitation system is designed gather kinematic force information from human then playback motion assist a user in common movements, such as bottle water. Grasping experiments were conducted where fingertip contact forces measured by SAFER glove. These modeled based on machine learning approach obtain learned distributions. Using these distributions, trajectories generated Gaussian mixture regression (GMR) method. To demonstrate glove's effectiveness manipulate hand, performed using capabilities several objects. Instead defining force, used control order actuate user's while carrying out task.","This paper presents the design evolution of sensing and force-feedback exoskeleton robotic (SAFER) glove with application to hand rehabilitation. The grasping rehabilitation system is designed gather kinematic force information from human then playback motion assist a user in common movements, such as bottle water. Grasping experiments were conducted where fingertip contact forces measured by SAFER glove. These modeled based on machine learning approach obtain learned distributions. Using these distributions, trajectories generated Gaussian mixture regression (GMR) method. To demonstrate glove's effectiveness manipulate hand, performed using capabilities several objects. Instead defining force, used control order actuate user's while carrying out task. The Design Evolution of a Sensing and Force-Feedback Exoskeleton Robotic Glove for Hand Rehabilitation Application",2015,12,paper,Exoskeleton,NaN
Self-Driving Vehicles and Policy Implications: Current Status of Autonomous Vehicle Development and Minnesota Policy Implications,"Whether you call them self-driving, driverless, automated, or autonomous, these vehicles are on the move. Recent announcements by Google (which drove over 500,000 miles its original prototype vehicles) and other major automakers indicate potential for development in this area. Driverless cars often discussed as “disruptive technology” with ability to transform transportation infrastructure, expand access, deliver benefits a variety of users. Some observers estimate limited availability driverless 2020, wide public 2040. This Article includes examination current status technology, implications road safety, capacity, travel behavior, cost. also considers regulatory framework policy challenges technology may face. In particular, presents Minnesota perspective. As Department Transportation implements Twenty-Year State Highway Investment Plan establishes priorities next several decades, state officials need information about Minnesota’s system. The Metropolitan Council needs pay serious attention, self-driving can potentially change way we live within Council’s planning horizon. Additionally, policymakers will consider whether accommodates deployment technology. Finally, summarizes consensus vehicles, Minnesota, suggests steps that take prepare such","Whether you call them self-driving, driverless, automated, or autonomous, these vehicles are on the move. Recent announcements by Google (which drove over 500,000 miles its original prototype vehicles) and other major automakers indicate potential for development in this area. Driverless cars often discussed as “disruptive technology” with ability to transform transportation infrastructure, expand access, deliver benefits a variety of users. Some observers estimate limited availability driverless 2020, wide public 2040. This Article includes examination current status technology, implications road safety, capacity, travel behavior, cost. also considers regulatory framework policy challenges technology may face. In particular, presents Minnesota perspective. As Department Transportation implements Twenty-Year State Highway Investment Plan establishes priorities next several decades, state officials need information about Minnesota’s system. The Metropolitan Council needs pay serious attention, self-driving can potentially change way we live within Council’s planning horizon. Additionally, policymakers will consider whether accommodates deployment technology. Finally, summarizes consensus vehicles, Minnesota, suggests steps that take prepare such Self-Driving Vehicles and Policy Implications: Current Status of Autonomous Vehicle Development and Minnesota Policy Implications",2015,12,paper,Public policy,NaN
A new hybrid quadratic regression and cascade forward backpropagation neural network,,,2015,12,paper,Backpropagation,NaN
